,Total_Delays,Day_of_Week,Season,Pressure,Wind_Speed,Average_Temperature,Precipitation,Is_Monday,Is_Tuesday,Is_Wednesday,Is_Thursday,Is_Friday,Is_Saturday,Is_Sunday,Is_Winter,Is_Spring,Is_Summer,Is_Autumn,S_Day_of_Week,S_Season,S_Pressure,S_Wind_Speed,S_Average_Temperature,S_Precipitation,S_Is_Monday,S_Is_Tuesday,S_Is_Wednesday,S_Is_Thursday,S_Is_Friday,S_Is_Saturday,S_Is_Sunday,S_Is_Winter,S_Is_Spring,S_Is_Summer,S_Is_Autumn
2019-01-01,39.0,1,0,1006.7,25.6,8.4,9.7,False,True,False,False,False,False,False,True,False,False,False,-0.9999337833639692,-1.3355683087292827,-1.136079923499731,1.34442507217431,-0.3362437297852772,0.839011098846725,-0.40833242200323394,2.4489850575521523,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-01-02,88.0,2,0,1024.8,15.1,0.8,0.0,False,False,True,False,False,False,False,True,False,False,False,-0.5000110466666778,-1.3355683087292827,1.1313642002096673,-0.3899475215416882,-1.1436610694361014,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,2.450752561727087,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-01-03,127.0,3,0,1013.4,16.9,3.1,0.5,False,False,False,True,False,False,False,True,False,False,False,-8.830996938653731e-05,-1.3355683087292827,-0.29674977825923976,-0.09262650547608872,-0.8993110850680889,-0.3199112830710265,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,2.450752561727087,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-01-04,101.0,4,0,1012.1,18.0,4.6,0.0,False,False,False,False,True,False,False,True,False,False,False,0.4998344267279048,-1.3355683087292827,-0.45960488106709224,0.08906967100844464,-0.7399523996106894,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,2.4489850575521523,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-01-05,53.0,5,0,1002.7,14.8,5.0,13.5,False,False,False,False,False,True,False,True,False,False,False,0.9997571634251962,-1.3355683087292827,-1.63717254752391,-0.439501024219288,-0.6974567501553828,1.3176964305084051,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,2.4489850575521523,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-01-06,67.0,6,0,1009.8,23.0,4.2,0.0,False,False,False,False,False,False,True,True,False,False,False,1.4996799001224874,-1.3355683087292827,-0.7477331398810037,0.914961382301777,-0.7824480490659959,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,2.4489850575521523,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-01-07,165.0,0,0,1028.2,18.7,-3.3,0.0,True,False,False,False,False,False,False,True,False,False,False,-1.4998565200612606,-1.3355683087292827,1.557292930630231,0.20469451058951105,-1.5792414763529934,-0.38289619513177386,2.4489850575521523,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-01-08,176.0,1,0,1016.5,12.2,1.2,0.5,False,True,False,False,False,False,False,True,False,False,False,-0.9999337833639692,-1.3355683087292827,0.09159700535950177,-0.8689647140918211,-1.101165419980795,-0.3199112830710265,-0.40833242200323394,2.4489850575521523,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-01-09,98.0,2,0,994.8,25.2,4.4,3.3,False,False,True,False,False,False,False,True,False,False,False,-0.5000110466666778,-1.3355683087292827,-2.626830479971675,1.2783537352708432,-0.7612002243383426,0.03280422446915873,-0.40833242200323394,-0.40833242200323394,2.450752561727087,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-01-10,105.0,3,0,1000.2,25.9,2.1,0.0,False,False,False,True,False,False,False,True,False,False,False,-8.830996938653731e-05,-1.3355683087292827,-1.9503554375390217,1.3939785748519096,-1.0055502087063553,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,2.450752561727087,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
