,Model,Data,RMSE
0,RandomForest,No Additional Data,37.86474225554728
1,RandomForest,Any Data,32.51525898044408
2,RandomForest,Any Data Improvement,14.12787452506555
3,RandomForest,Day of Week Data Improvement,11.606292234078921
4,RandomForest,Season Data Improvement,0.0007160190472887962
5,RandomForest,Weather Data Improvement,-6.788089845376959
6,Linear,No Additional Data,44.915524710593466
7,Linear,Any Data,32.01763003925142
8,Linear,Any Data Improvement,28.715894458425495
9,Linear,Day of Week Data Improvement,28.715894458425495
10,Linear,Season Data Improvement,0.23020550112383376
11,Linear,Weather Data Improvement,-0.4655527658565717
12,Ridge,No Additional Data,44.915527353374294
13,Ridge,Any Data,32.018297615917916
14,Ridge,Any Data Improvement,28.714412358975608
15,Ridge,Day of Week Data Improvement,28.714412358975608
16,Ridge,Season Data Improvement,0.23590646482993805
17,Ridge,Weather Data Improvement,-0.4551167395460851
18,Lasso,No Additional Data,44.92343166030578
19,Lasso,Any Data,32.27106518274684
20,Lasso,Any Data Improvement,28.16429201854261
21,Lasso,Day of Week Data Improvement,27.82164165741257
22,Lasso,Season Data Improvement,0.2249807235914858
23,Lasso,Weather Data Improvement,0.27019915319228005
24,GradientBoost,No Additional Data,40.231917688328096
25,GradientBoost,Any Data,30.997834820004066
26,GradientBoost,Any Data Improvement,22.952132035711998
27,GradientBoost,Day of Week Data Improvement,22.952132035711998
28,GradientBoost,Season Data Improvement,0.40807435572828865
29,GradientBoost,Weather Data Improvement,-8.978146817938779
30,SupportVector,No Additional Data,43.913788705110974
31,SupportVector,Any Data,43.913788705110974
32,SupportVector,Any Data Improvement,0.0
33,SupportVector,Day of Week Data Improvement,-3.334946585412254
34,SupportVector,Season Data Improvement,-3.5040154569880997
35,SupportVector,Weather Data Improvement,-5.602222298104508
36,MultilayerPerceptron,No Additional Data,37.773986144456906
37,MultilayerPerceptron,Any Data,31.39229323554459
38,MultilayerPerceptron,Any Data Improvement,16.894412161076062
39,MultilayerPerceptron,Day of Week Data Improvement,16.198653372704015
40,MultilayerPerceptron,Season Data Improvement,0.8639609276130216
41,MultilayerPerceptron,Weather Data Improvement,-1.2300183185815712
42,kNearestNeighbor,No Additional Data,43.87016212210824
43,kNearestNeighbor,Any Data,42.18353731811372
44,kNearestNeighbor,Any Data Improvement,3.844583020459254
45,kNearestNeighbor,Day of Week Data Improvement,0.5352179540197426
46,kNearestNeighbor,Season Data Improvement,0.9650947260858658
47,kNearestNeighbor,Weather Data Improvement,3.6077772618650386
48,MovingAverage,No Additional Data,57.796080051340084
49,MovingAverage,Any Data,57.796080051340084
50,MovingAverage,Any Data Improvement,0.0
51,MovingAverage,Day of Week Data Improvement,0.0
52,MovingAverage,Season Data Improvement,0.0
53,MovingAverage,Weather Data Improvement,0.0
54,Poisson,No Additional Data,48.04685180966743
55,Poisson,Any Data,32.90253434527908
56,Poisson,Any Data Improvement,31.519895464495733
57,Poisson,Day of Week Data Improvement,28.899943591520298
58,Poisson,Season Data Improvement,0.705144734422376
59,Poisson,Weather Data Improvement,-0.016195994090253407
60,RandomForest,No Additional Data,40.84534072530875
61,RandomForest,Any Data,31.415031588818174
62,RandomForest,Any Data Improvement,23.087845440954624
63,RandomForest,Day of Week Data Improvement,22.664730971958207
64,RandomForest,Season Data Improvement,0.43768471451400615
65,RandomForest,Weather Data Improvement,-0.1943444192066437
66,Linear,No Additional Data,46.442944951083675
67,Linear,Any Data,32.092083953908066
68,Linear,Any Data Improvement,30.89998063708221
69,Linear,Day of Week Data Improvement,30.89998063708221
70,Linear,Season Data Improvement,-0.32378009108431627
71,Linear,Weather Data Improvement,0.2483677878735051
72,Ridge,No Additional Data,46.442947887276645
73,Ridge,Any Data,32.09309275989669
74,Ridge,Any Data Improvement,30.897812865387024
75,Ridge,Day of Week Data Improvement,30.897812865387024
76,Ridge,Season Data Improvement,-0.22884735318842786
77,Ridge,Weather Data Improvement,0.2530894317968091
78,Lasso,No Additional Data,46.45660804069322
79,Lasso,Any Data,32.69185063695641
80,Lasso,Any Data Improvement,29.629277694315746
81,Lasso,Day of Week Data Improvement,29.629277694315746
82,Lasso,Season Data Improvement,0.11243622818666665
83,Lasso,Weather Data Improvement,0.35943911587867206
84,GradientBoost,No Additional Data,42.795855289620704
85,GradientBoost,Any Data,31.361768155792152
86,GradientBoost,Any Data Improvement,26.71774417510396
87,GradientBoost,Day of Week Data Improvement,26.71774417510396
88,GradientBoost,Season Data Improvement,1.1471829037692771
89,GradientBoost,Weather Data Improvement,-3.626124807301096
90,SupportVector,No Additional Data,46.38413640101115
91,SupportVector,Any Data,46.38413640101115
92,SupportVector,Any Data Improvement,0.0
93,SupportVector,Day of Week Data Improvement,-2.9309358317925245
