,Model,Data,RMSE
0,RandomForest,No Additional Data,34226.64977799706
1,RandomForest,Best Added-Feature Set,28161.611955028096
2,RandomForest,Best Added-Feature Set Improvement,17.720220536653088
3,RandomForest,Day of Week Data Improvement,17.720220536653088
4,RandomForest,Season Data Improvement,-0.5665784359248818
5,RandomForest,Weather Data Improvement,-8.244233528566255
6,Linear,No Additional Data,50740.9982389037
7,Linear,Best Added-Feature Set,50740.9982389037
8,Linear,Best Added-Feature Set Improvement,0.0
9,Linear,Day of Week Data Improvement,-3.0868004694440714
10,Linear,Season Data Improvement,-0.13457569020356175
11,Linear,Weather Data Improvement,-6.11865903672394
12,Ridge,No Additional Data,50740.998238903725
13,Ridge,Best Added-Feature Set,32155.75450390446
14,Ridge,Best Added-Feature Set Improvement,36.627666739023155
15,Ridge,Day of Week Data Improvement,36.627666739023155
16,Ridge,Season Data Improvement,-0.07398392043614876
17,Ridge,Weather Data Improvement,-1.9930766329021878
18,Lasso,No Additional Data,50740.998238903885
19,Lasso,Best Added-Feature Set,33701.49847548437
20,Lasso,Best Added-Feature Set Improvement,33.581325466228364
21,Lasso,Day of Week Data Improvement,33.581325466228364
22,Lasso,Season Data Improvement,-0.06535602399620188
23,Lasso,Weather Data Improvement,-3.3796614017052775
24,GradientBoost,No Additional Data,37855.32698947211
25,GradientBoost,Best Added-Feature Set,29391.457286890647
26,GradientBoost,Best Added-Feature Set Improvement,22.358464120347804
27,GradientBoost,Day of Week Data Improvement,22.18578923439155
28,GradientBoost,Season Data Improvement,-5.736897366274704
29,GradientBoost,Weather Data Improvement,-10.909883614826938
30,SupportVector,No Additional Data,118583.22433834928
31,SupportVector,Best Added-Feature Set,118581.17525805233
32,SupportVector,Best Added-Feature Set Improvement,0.001727968107104516
33,SupportVector,Day of Week Data Improvement,0.0016292509451574233
34,SupportVector,Season Data Improvement,2.2971491944190348e-05
35,SupportVector,Weather Data Improvement,7.561572861902732e-05
36,MultilayerPerceptron,No Additional Data,38910.1558742655
37,MultilayerPerceptron,Best Added-Feature Set,35728.825496978796
38,MultilayerPerceptron,Best Added-Feature Set Improvement,8.176092605660273
39,MultilayerPerceptron,Day of Week Data Improvement,-2.312824958319382
40,MultilayerPerceptron,Season Data Improvement,-1.7786236967481983
41,MultilayerPerceptron,Weather Data Improvement,0.20441071073692285
42,kNearestNeighbor,No Additional Data,35422.40976165149
43,kNearestNeighbor,Best Added-Feature Set,34806.85898543891
44,kNearestNeighbor,Best Added-Feature Set Improvement,1.7377439320319326
45,kNearestNeighbor,Day of Week Data Improvement,1.2833467884989744
46,kNearestNeighbor,Season Data Improvement,1.08592104705221
47,kNearestNeighbor,Weather Data Improvement,0.5595125560953562
48,MovingAverage,No Additional Data,67466.70401033005
49,MovingAverage,Best Added-Feature Set,67466.70401033005
50,MovingAverage,Best Added-Feature Set Improvement,0.0
51,MovingAverage,Day of Week Data Improvement,0.0
52,MovingAverage,Season Data Improvement,0.0
53,MovingAverage,Weather Data Improvement,0.0
54,Poisson,No Additional Data,113301.7525694982
55,Poisson,Best Added-Feature Set,113301.7525694982
56,Poisson,Best Added-Feature Set Improvement,0.0
57,Poisson,Day of Week Data Improvement,0.0
58,Poisson,Season Data Improvement,0.0
59,Poisson,Weather Data Improvement,0.0
60,RandomForest,No Additional Data,36764.76445250782
61,RandomForest,Best Added-Feature Set,29720.365702124782
62,RandomForest,Best Added-Feature Set Improvement,19.160734075919052
63,RandomForest,Day of Week Data Improvement,19.160734075919052
64,RandomForest,Season Data Improvement,2.5822834471902922
65,RandomForest,Weather Data Improvement,-1.7675287003802964
66,Linear,No Additional Data,52239.99437173018
67,Linear,Best Added-Feature Set,52239.99437173018
68,Linear,Best Added-Feature Set Improvement,0.0
69,Linear,Day of Week Data Improvement,-6.593562909544332
70,Linear,Season Data Improvement,-0.964691514590271
71,Linear,Weather Data Improvement,-8.313974343165839
72,Ridge,No Additional Data,52239.99437173022
73,Ridge,Best Added-Feature Set,35164.363349375155
74,Ridge,Best Added-Feature Set Improvement,32.686892921251115
75,Ridge,Day of Week Data Improvement,32.686892921251115
76,Ridge,Season Data Improvement,-0.3472752414386946
77,Ridge,Weather Data Improvement,-2.517836635121995
78,Lasso,No Additional Data,52239.99437173048
79,Lasso,Best Added-Feature Set,38190.75808791454
80,Lasso,Best Added-Feature Set Improvement,26.893640500502514
81,Lasso,Day of Week Data Improvement,26.893640500502514
82,Lasso,Season Data Improvement,-0.7424063609903158
83,Lasso,Weather Data Improvement,-6.17421012147922
84,GradientBoost,No Additional Data,39951.97601676193
85,GradientBoost,Best Added-Feature Set,31362.53202936234
86,GradientBoost,Best Added-Feature Set Improvement,21.499422165741876
87,GradientBoost,Day of Week Data Improvement,17.69626609804716
88,GradientBoost,Season Data Improvement,-1.845720599130786
89,GradientBoost,Weather Data Improvement,-12.187232590217619
90,SupportVector,No Additional Data,62419.465094542276
91,SupportVector,Best Added-Feature Set,61626.670861862454
92,SupportVector,Best Added-Feature Set Improvement,1.2701073799319431
93,SupportVector,Day of Week Data Improvement,0.004426196748497091
94,SupportVector,Season Data Improvement,0.00019420049268603634
95,SupportVector,Weather Data Improvement,1.2691200805088556
96,MultilayerPerceptron,No Additional Data,40510.007458098924
97,MultilayerPerceptron,Best Added-Feature Set,35847.72968709902
98,MultilayerPerceptron,Best Added-Feature Set Improvement,11.508953129229312
99,MultilayerPerceptron,Day of Week Data Improvement,-4.8256163222346515
100,MultilayerPerceptron,Season Data Improvement,9.691435350511
101,MultilayerPerceptron,Weather Data Improvement,8.208659097958062
102,kNearestNeighbor,No Additional Data,37331.78777053886
103,kNearestNeighbor,Best Added-Feature Set,36909.979511474834
104,kNearestNeighbor,Best Added-Feature Set Improvement,1.129890327397888
105,kNearestNeighbor,Day of Week Data Improvement,0.8701063227182431
106,kNearestNeighbor,Season Data Improvement,0.7313753711769237
107,kNearestNeighbor,Weather Data Improvement,1.1021174210483764
108,MovingAverage,No Additional Data,71430.26618707915
109,MovingAverage,Best Added-Feature Set,71430.26618707915
110,MovingAverage,Best Added-Feature Set Improvement,0.0
111,MovingAverage,Day of Week Data Improvement,0.0
112,MovingAverage,Season Data Improvement,0.0
113,MovingAverage,Weather Data Improvement,0.0
114,Poisson,No Additional Data,120851.24317014463
115,Poisson,Best Added-Feature Set,120851.24317014463
116,Poisson,Best Added-Feature Set Improvement,0.0
117,Poisson,Day of Week Data Improvement,0.0
118,Poisson,Season Data Improvement,0.0
119,Poisson,Weather Data Improvement,0.0
120,RandomForest,No Additional Data,36264.63818323781
121,RandomForest,Best Added-Feature Set,30396.533039720372
122,RandomForest,Best Added-Feature Set Improvement,16.18134203867443
123,RandomForest,Day of Week Data Improvement,14.516080077136294
124,RandomForest,Season Data Improvement,0.3727777834131132
125,RandomForest,Weather Data Improvement,-4.680149883337023
126,Linear,No Additional Data,52890.646776012225
127,Linear,Best Added-Feature Set,52818.721956064735
128,Linear,Best Added-Feature Set Improvement,0.13598778674816003
129,Linear,Day of Week Data Improvement,-7.140303440378403
130,Linear,Season Data Improvement,0.13598778674816003
131,Linear,Weather Data Improvement,-5.224186561378048
132,Ridge,No Additional Data,52890.646776012305
133,Ridge,Best Added-Feature Set,37036.347267274046
134,Ridge,Best Added-Feature Set Improvement,29.9756204076686
135,Ridge,Day of Week Data Improvement,29.9756204076686
136,Ridge,Season Data Improvement,0.052709608787409934
137,Ridge,Weather Data Improvement,-1.848244647355287
138,Lasso,No Additional Data,52890.646776012414
139,Lasso,Best Added-Feature Set,39923.27440575519
140,Lasso,Best Added-Feature Set Improvement,24.51732614496659
141,Lasso,Day of Week Data Improvement,24.51732614496659
142,Lasso,Season Data Improvement,0.060070470297659995
143,Lasso,Weather Data Improvement,-3.5238157504707033
144,GradientBoost,No Additional Data,39328.04832735827
145,GradientBoost,Best Added-Feature Set,31636.703172395137
146,GradientBoost,Best Added-Feature Set Improvement,19.55689509670559
147,GradientBoost,Day of Week Data Improvement,15.068043075462256
148,GradientBoost,Season Data Improvement,-0.6322937170083662
149,GradientBoost,Weather Data Improvement,-9.519444088038298
150,SupportVector,No Additional Data,78414.59074200949
151,SupportVector,Best Added-Feature Set,78413.00003204448
152,SupportVector,Best Added-Feature Set Improvement,0.00202858925864291
153,SupportVector,Day of Week Data Improvement,0.0019285649156159934
154,SupportVector,Season Data Improvement,6.45642815300107e-06
155,SupportVector,Weather Data Improvement,9.342998490069476e-05
156,MultilayerPerceptron,No Additional Data,40927.22288840576
157,MultilayerPerceptron,Best Added-Feature Set,36135.199281724636
158,MultilayerPerceptron,Best Added-Feature Set Improvement,11.708645904823058
159,MultilayerPerceptron,Day of Week Data Improvement,11.708645904823058
160,MultilayerPerceptron,Season Data Improvement,3.715842848720655
161,MultilayerPerceptron,Weather Data Improvement,7.073007722072617
162,kNearestNeighbor,No Additional Data,38021.12668552292
163,kNearestNeighbor,Best Added-Feature Set,37400.363061178585
164,kNearestNeighbor,Best Added-Feature Set Improvement,1.6326807710848357
165,kNearestNeighbor,Day of Week Data Improvement,-0.12709130344092046
166,kNearestNeighbor,Season Data Improvement,1.6326807710848357
167,kNearestNeighbor,Weather Data Improvement,0.32667790458856416
168,MovingAverage,No Additional Data,70777.05361129546
169,MovingAverage,Best Added-Feature Set,70777.05361129546
170,MovingAverage,Best Added-Feature Set Improvement,0.0
171,MovingAverage,Day of Week Data Improvement,0.0
172,MovingAverage,Season Data Improvement,0.0
173,MovingAverage,Weather Data Improvement,0.0
174,Poisson,No Additional Data,119321.61917167576
175,Poisson,Best Added-Feature Set,119321.61917167576
176,Poisson,Best Added-Feature Set Improvement,0.0
