task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error,selected
gse,GradientBoost,target metric,0,54221.439535614336,"{'min_samples_split': 29, 'min_samples_leaf': 14, 'n_estimators': 645, 'learning_rate': 0.01802500215379046, 'max_depth': 4, 'subsample': 0.8964463341889095, 'max_features': 0.5818611549297454, 'loss': 'huber'}",989452486,,False
gse,GradientBoost,target metric,1,69691.62930873364,"{'min_samples_split': 2, 'min_samples_leaf': 7, 'n_estimators': 36, 'learning_rate': 0.4436853814201469, 'max_depth': 3, 'subsample': 1.0, 'max_features': 'log2', 'loss': 'squared_error'}",3111990319,,False
gse,GradientBoost,target metric,2,80163.65478020674,"{'min_samples_split': 40, 'min_samples_leaf': 1, 'n_estimators': 410, 'learning_rate': 0.0737958632517728, 'max_depth': 2, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'huber'}",1231871601,,False
gse,GradientBoost,target metric,3,59092.4453857387,"{'min_samples_split': 33, 'min_samples_leaf': 1, 'n_estimators': 463, 'learning_rate': 0.013703354888145173, 'max_depth': 4, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'huber'}",3025703675,,False
gse,GradientBoost,target metric,4,68778.82153785118,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 101, 'learning_rate': 0.41515851783350893, 'max_depth': 3, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'squared_error'}",3910968777,,False
gse,GradientBoost,target metric,5,70779.545897658,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 170, 'learning_rate': 0.026999629253212698, 'max_depth': 3, 'subsample': 1.0, 'max_features': 'log2', 'loss': 'squared_error'}",1514007347,,False
gse,GradientBoost,target metric,6,55800.62018667437,"{'min_samples_split': 43, 'min_samples_leaf': 1, 'n_estimators': 231, 'learning_rate': 0.014817184596271864, 'max_depth': 5, 'subsample': 1.0, 'max_features': 0.5603418402760931, 'loss': 'squared_error'}",2191503481,,False
gse,GradientBoost,target metric,7,49848.23996879979,"{'min_samples_split': 2, 'min_samples_leaf': 29, 'n_estimators': 42, 'learning_rate': 0.11358497170325009, 'max_depth': 4, 'subsample': 0.5038806966983618, 'max_features': 0.4707953185073361, 'loss': 'huber'}",2822190395,,False
gse,GradientBoost,target metric,8,76711.70500066369,"{'min_samples_split': 36, 'min_samples_leaf': 29, 'n_estimators': 35, 'learning_rate': 0.3037384143032817, 'max_depth': 3, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'squared_error'}",760224406,,False
gse,GradientBoost,target metric,9,69767.58181421678,"{'min_samples_split': 14, 'min_samples_leaf': 1, 'n_estimators': 829, 'learning_rate': 0.8312118555704032, 'max_depth': 5, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'squared_error'}",2695001040,,False
gse,GradientBoost,target metric,10,97085.1191001909,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 14, 'learning_rate': 0.27897267329779263, 'max_depth': 2, 'subsample': 1.0, 'max_features': 'log2', 'loss': 'squared_error'}",2000641102,,False
gse,GradientBoost,target metric,11,70361.69027770344,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 14, 'learning_rate': 0.09464566113492455, 'max_depth': 4, 'subsample': 0.5316465864192677, 'max_features': 'log2', 'loss': 'squared_error'}",2966650399,,False
gse,GradientBoost,target metric,12,73598.0448478248,"{'min_samples_split': 2, 'min_samples_leaf': 16, 'n_estimators': 156, 'learning_rate': 0.5717009889803643, 'max_depth': 3, 'subsample': 0.5052807081694795, 'max_features': 'sqrt', 'loss': 'squared_error'}",756727824,,False
gse,GradientBoost,target metric,13,113643.72680434897,"{'min_samples_split': 23, 'min_samples_leaf': 25, 'n_estimators': 70, 'learning_rate': 0.14140422049366674, 'max_depth': 1, 'subsample': 0.612677181016799, 'max_features': 'sqrt', 'loss': 'squared_error'}",823842374,,False
gse,GradientBoost,target metric,14,89990.23959280885,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'n_estimators': 482, 'learning_rate': 0.8439319394550576, 'max_depth': 2, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'squared_error'}",3247521693,,False
gse,GradientBoost,target metric,15,70705.27628213905,"{'min_samples_split': 2, 'min_samples_leaf': 13, 'n_estimators': 57, 'learning_rate': 0.7471236957617352, 'max_depth': 5, 'subsample': 0.9116166651920388, 'max_features': 1.0, 'loss': 'squared_error'}",4087489038,,False
gse,GradientBoost,target metric,16,70575.23283619901,"{'min_samples_split': 2, 'min_samples_leaf': 18, 'n_estimators': 507, 'learning_rate': 0.10741696331975324, 'max_depth': 2, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'squared_error'}",2293744408,,False
gse,GradientBoost,target metric,17,58403.06231749032,"{'min_samples_split': 26, 'min_samples_leaf': 1, 'n_estimators': 33, 'learning_rate': 0.28416042616632703, 'max_depth': 4, 'subsample': 1.0, 'max_features': 'log2', 'loss': 'squared_error'}",1347821516,,False
gse,GradientBoost,target metric,18,49788.118738290985,"{'min_samples_split': 41, 'min_samples_leaf': 1, 'n_estimators': 22, 'learning_rate': 0.35542705292708887, 'max_depth': 5, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'huber'}",231386991,,False
gse,GradientBoost,target metric,19,100434.12415526123,"{'min_samples_split': 2, 'min_samples_leaf': 10, 'n_estimators': 138, 'learning_rate': 0.0649502418142994, 'max_depth': 1, 'subsample': 0.8841017198215028, 'max_features': 1.0, 'loss': 'squared_error'}",2701418832,,False
gse,GradientBoost,target metric,20,78634.19094280228,"{'min_samples_split': 24, 'min_samples_leaf': 1, 'n_estimators': 24, 'learning_rate': 0.4700309201102003, 'max_depth': 3, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'huber'}",1305277009,,False
gse,GradientBoost,target metric,21,148084.0488629953,"{'min_samples_split': 35, 'min_samples_leaf': 1, 'n_estimators': 43, 'learning_rate': 0.021348860698731733, 'max_depth': 3, 'subsample': 0.5234995654592549, 'max_features': 0.386076234596912, 'loss': 'huber'}",1548286507,,False
gse,GradientBoost,target metric,22,60096.021541338814,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 526, 'learning_rate': 0.020581015585877, 'max_depth': 4, 'subsample': 0.7743212115572945, 'max_features': 'log2', 'loss': 'squared_error'}",2979760302,,False
gse,GradientBoost,target metric,23,53836.34238469309,"{'min_samples_split': 2, 'min_samples_leaf': 11, 'n_estimators': 959, 'learning_rate': 0.7027973035504452, 'max_depth': 4, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'squared_error'}",3871474555,,False
gse,GradientBoost,target metric,24,47944.49200370041,"{'min_samples_split': 2, 'min_samples_leaf': 23, 'n_estimators': 601, 'learning_rate': 0.04810350657334539, 'max_depth': 5, 'subsample': 0.6413349189218867, 'max_features': 1.0, 'loss': 'huber'}",2212758342,,False
gse,GradientBoost,target metric,25,65932.89103075897,"{'min_samples_split': 44, 'min_samples_leaf': 1, 'n_estimators': 135, 'learning_rate': 0.6897744516250182, 'max_depth': 5, 'subsample': 0.6292485400451014, 'max_features': 'sqrt', 'loss': 'squared_error'}",1764556348,,False
