task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error,selected
gse,MultilayerPerceptron,target metric,0,35858.90894147942,"{'hidden_layer_sizes': (72,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0005404127834324532, 'learning_rate_init': 0.003264647084082004, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2547838082,,True
gse,MultilayerPerceptron,target metric,1,219563.7025279713,"{'hidden_layer_sizes': (49,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 5.98185833060061e-05, 'learning_rate_init': 0.007677717781500555, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2670271542,,False
gse,MultilayerPerceptron,target metric,2,116505.91970324564,"{'hidden_layer_sizes': (31,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0004886025825102899, 'learning_rate_init': 8.134091184365985e-05, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2263823346,,False
gse,MultilayerPerceptron,target metric,3,219844.06837688497,"{'hidden_layer_sizes': (81,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 2.7421977617300522e-05, 'learning_rate_init': 2.565594762147451e-05, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1166078612,,False
gse,MultilayerPerceptron,target metric,4,219802.1715922597,"{'hidden_layer_sizes': (79,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.00011886790316388388, 'learning_rate_init': 0.0008225120500884668, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",4153208949,,False
gse,MultilayerPerceptron,target metric,5,37897.890380504155,"{'hidden_layer_sizes': (19, 22), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001326123479778679, 'learning_rate_init': 0.004009312628056411, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1688411945,,False
gse,MultilayerPerceptron,target metric,6,36633.386596518016,"{'hidden_layer_sizes': (18, 10), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0005361075865847268, 'learning_rate_init': 0.0037518462220035333, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3017946200,,False
gse,MultilayerPerceptron,target metric,7,219844.8401030401,"{'hidden_layer_sizes': (17, 33), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.00264403863770171, 'learning_rate_init': 2.5288026153625512e-05, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2986527826,,False
gse,MultilayerPerceptron,target metric,8,138034.15083185822,"{'hidden_layer_sizes': (47,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.004215810235234444, 'learning_rate_init': 6.084212636144661e-05, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3421246801,,False
gse,MultilayerPerceptron,target metric,9,213959.5534877888,"{'hidden_layer_sizes': (99,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 1.321554696327756e-06, 'learning_rate_init': 0.08130641359368067, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1650391590,,False
