task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error,selected
gse,Poisson,target metric,0,144743.68250348145,{'alpha': 0.06500931182664386},40398849,,True
gse,Poisson,target metric,1,144743.68250348145,{'alpha': 27.24968214319897},3583262725,,False
gse,Poisson,target metric,2,144743.68250348145,{'alpha': 1.0902539012047274},1740158725,,False
gse,Poisson,target metric,3,144743.68250348145,{'alpha': 0.06598338658314107},1237305108,,False
gse,Poisson,target metric,4,144743.68250348145,{'alpha': 0.0015078164670988647},702544527,,False
gse,Poisson,target metric,5,144743.68250348145,{'alpha': 1.5314062025433461},2429682580,,False
gse,Poisson,target metric,6,144743.68250348145,{'alpha': 0.00031641287377639615},2806197043,,False
gse,Poisson,target metric,7,144743.68250348145,{'alpha': 283.1058498183931},1032317111,,False
gse,Poisson,target metric,8,144743.68250348145,{'alpha': 0.0018685733297037928},1940638201,,False
gse,Poisson,target metric,9,144743.68250348145,{'alpha': 1611.2511815638572},3999221469,,False
gse,Poisson,target metric,10,144743.68250348145,{'alpha': 29.209459626478676},335623846,,False
gse,Poisson,target metric,11,144743.68250348145,{'alpha': 0.00017810680232911824},1771234010,,False
gse,Poisson,target metric,12,144743.68250348145,{'alpha': 0.7837337024147849},3294373566,,False
gse,Poisson,target metric,13,144743.68250348145,{'alpha': 65.53450531888384},3919348117,,False
gse,Poisson,target metric,14,144743.68250348145,{'alpha': 0.18199352179249387},1411847734,,False
gse,Poisson,target metric,15,144743.68250348145,{'alpha': 1.9029348353081763},804477671,,False
gse,Poisson,target metric,16,144743.68250348145,{'alpha': 0.08060517057389474},1667023395,,False
gse,Poisson,target metric,17,144743.68250348145,{'alpha': 4913.508374891681},1915663009,,False
gse,Poisson,target metric,18,144743.68250348145,{'alpha': 0.007608823412554379},4137451647,,False
gse,Poisson,target metric,19,144743.68250348145,{'alpha': 8.68320059210839},1716363433,,False
gse,Poisson,target metric,20,144743.68250348145,{'alpha': 2.594562646338707},3490959655,,False
gse,Poisson,target metric,21,144743.68250348145,{'alpha': 0.015284280539056533},2294991256,,False
gse,Poisson,target metric,22,144743.68250348145,{'alpha': 0.0009567193599481032},1032199787,,False
gse,Poisson,target metric,23,144743.68250348145,{'alpha': 18.91339856881993},1738384414,,False
