task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error,selected
gse,SupportVector,target metric,0,52163.56500791291,"{'C': 78.47129849837543, 'epsilon': 0.04769330724314875}",2625541514,,False
gse,SupportVector,target metric,1,52163.56175304208,"{'C': 0.010715412566155658, 'epsilon': 0.00885113134255534}",3842630655,,False
gse,SupportVector,target metric,2,52163.5635956208,"{'C': 9.053556977311956, 'epsilon': 0.030841517753279334}",1518127434,,False
gse,SupportVector,target metric,3,52164.2078442221,"{'C': 13.856088428981403, 'epsilon': 7.440394230903681}",2894872047,,False
gse,SupportVector,target metric,4,52163.56130460847,"{'C': 0.15114411741688374, 'epsilon': 0.003498513328470365}",92606619,,False
gse,SupportVector,target metric,5,52163.65823359157,"{'C': 0.027790711351665696, 'epsilon': 1.1537847050961765}",3814318291,,False
gse,SupportVector,target metric,6,52163.56483743112,"{'C': 72.82824936611951, 'epsilon': 0.04565923608350126}",3354003141,,False
gse,SupportVector,target metric,7,52164.30483652524,"{'C': 0.10400485360262668, 'epsilon': 8.511512022435328}",1367398577,,False
gse,SupportVector,target metric,8,52163.561156861855,"{'C': 0.02225217229036361, 'epsilon': 0.0017349253662154117}",3333080937,,False
gse,SupportVector,target metric,9,52163.714680594436,"{'C': 0.07032046367172273, 'epsilon': 1.8175855366240854}",2366905382,,False
gse,SupportVector,target metric,10,52163.56190162593,"{'C': 12.457714929638627, 'epsilon': 0.010624597139544016}",798852266,,False
gse,SupportVector,target metric,11,52163.739222519514,"{'C': 0.05675047905307831, 'epsilon': 2.1048264084905024}",624519040,,False
gse,SupportVector,target metric,12,52163.574942785664,"{'C': 3.702737440075257, 'epsilon': 0.16615717470767066}",3059458042,,False
gse,SupportVector,target metric,13,52163.90380544333,"{'C': 0.011294750059929167, 'epsilon': 4.0103368601550144}",3505862833,,False
gse,SupportVector,target metric,14,52163.56110802601,"{'C': 0.5784679659148609, 'epsilon': 0.0011519695489614471}",1766501121,,False
gse,SupportVector,target metric,15,52163.56113250513,"{'C': 0.019439387228748065, 'epsilon': 0.0014441666249608543}",2306445912,,False
gse,SupportVector,target metric,16,52163.599854376786,"{'C': 0.04567165185999863, 'epsilon': 0.4625808954772412}",1213073467,,False
gse,SupportVector,target metric,17,52163.568451583255,"{'C': 0.37772084129411637, 'epsilon': 0.08877189512470976}",615985158,,False
gse,SupportVector,target metric,18,52163.88620137712,"{'C': 1.0815161336194596, 'epsilon': 3.8082142734154094}",1353072755,,False
gse,SupportVector,target metric,19,52163.56819647725,"{'C': 0.03763517729623783, 'epsilon': 0.08572939301015586}",4135024247,,False
gse,SupportVector,target metric,20,52163.561330614306,"{'C': 3.221332922299491, 'epsilon': 0.003808944780836079}",2770495959,,False
gse,SupportVector,target metric,21,52163.562670979074,"{'C': 1.8457319982428573, 'epsilon': 0.019806932618032038}",4248110471,,False
