task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,RandomForest,target metric,67,43007.49566032824,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 503, 'max_depth': None, 'max_features': 'log2', 'bootstrap': False, 'max_samples': None}",4094629498,
gse,RandomForest,target metric + day of week + season + weather,49,30472.22854956747,"{'min_samples_split': 2, 'min_samples_leaf': 3, 'n_estimators': 584, 'max_depth': 70, 'max_features': 0.5459636060022844, 'bootstrap': True, 'max_samples': None}",17159972,
gse,RandomForest,target metric + day of week OHE + season OHE + weather,2,30917.904040334808,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 60, 'max_depth': 11, 'max_features': 0.4821060578442724, 'bootstrap': True, 'max_samples': None}",2083187883,
gse,RandomForest,target metric + scaled day of week + scaled season + scaled weather,69,30236.282533013764,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'n_estimators': 302, 'max_depth': 62, 'max_features': 0.6676915227522157, 'bootstrap': True, 'max_samples': None}",571180577,
gse,RandomForest,target metric + scaled day of week OHE + scaled season OHE + scaled weather,14,31285.195584904977,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 625, 'max_depth': 33, 'max_features': 0.4470364324067904, 'bootstrap': True, 'max_samples': None}",2725921224,
gse,RandomForest,target metric + day of week,32,27554.13632486584,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 507, 'max_depth': 32, 'max_features': 0.7424511443758159, 'bootstrap': True, 'max_samples': None}",2686950541,
gse,RandomForest,target metric + day of week OHE,63,28347.223560789524,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 214, 'max_depth': 39, 'max_features': 0.529021075523087, 'bootstrap': True, 'max_samples': None}",2853000897,
gse,RandomForest,target metric + scaled day of week,85,27956.640423842317,"{'min_samples_split': 3, 'min_samples_leaf': 1, 'n_estimators': 188, 'max_depth': 29, 'max_features': 0.6347416552010747, 'bootstrap': True, 'max_samples': None}",4159991845,
gse,RandomForest,target metric + scaled day of week OHE,81,28480.23063617336,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 265, 'max_depth': None, 'max_features': 0.5696360533344526, 'bootstrap': True, 'max_samples': None}",4259798074,
gse,RandomForest,target metric + season,23,44826.45193715863,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 61, 'max_depth': 25, 'max_features': 0.6382697447248917, 'bootstrap': True, 'max_samples': None}",4072925210,
gse,RandomForest,target metric + season OHE,72,49122.89822680143,"{'min_samples_split': 2, 'min_samples_leaf': 8, 'n_estimators': 115, 'max_depth': 19, 'max_features': 0.7588999292163525, 'bootstrap': True, 'max_samples': None}",475713489,
gse,RandomForest,target metric + scaled season,95,45283.64611520832,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 796, 'max_depth': None, 'max_features': 0.7531500903563386, 'bootstrap': True, 'max_samples': None}",3120725934,
gse,RandomForest,target metric + scaled season OHE,32,45904.16844531211,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 82, 'max_depth': None, 'max_features': 0.6895085595064523, 'bootstrap': True, 'max_samples': None}",48273882,
gse,RandomForest,target metric + weather,44,50826.66687326786,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 10, 'max_depth': 31, 'max_features': 0.6738846283202662, 'bootstrap': True, 'max_samples': None}",470014555,
gse,RandomForest,target metric + scaled weather,31,50198.67516838491,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 542, 'max_depth': None, 'max_features': 0.674086513659832, 'bootstrap': True, 'max_samples': None}",3000938681,
