task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,GradientBoost,target metric,24,47944.49200370041,"{'min_samples_split': 2, 'min_samples_leaf': 23, 'n_estimators': 601, 'learning_rate': 0.04810350657334539, 'max_depth': 5, 'subsample': 0.6413349189218867, 'max_features': 1.0, 'loss': 'huber'}",2212758342,
gse,GradientBoost,target metric + day of week + season + weather,27,38370.81633093446,"{'min_samples_split': 2, 'min_samples_leaf': 18, 'n_estimators': 47, 'learning_rate': 0.1740544654741604, 'max_depth': 5, 'subsample': 0.9551992984189832, 'max_features': 0.39524734681048446, 'loss': 'huber'}",2370575238,
gse,GradientBoost,target metric + day of week OHE + season OHE + weather,18,37160.7080841517,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 360, 'learning_rate': 0.14643097247873624, 'max_depth': 5, 'subsample': 1.0, 'max_features': 0.4169153815569257, 'loss': 'squared_error'}",1481606424,
gse,GradientBoost,target metric + scaled day of week + scaled season + scaled weather,27,30931.956230742373,"{'min_samples_split': 2, 'min_samples_leaf': 16, 'n_estimators': 92, 'learning_rate': 0.05531354251558332, 'max_depth': 4, 'subsample': 0.5075668417158069, 'max_features': 0.4736086272453668, 'loss': 'squared_error'}",2024828584,
gse,GradientBoost,target metric + scaled day of week OHE + scaled season OHE + scaled weather,9,41762.53873384792,"{'min_samples_split': 2, 'min_samples_leaf': 8, 'n_estimators': 67, 'learning_rate': 0.1138999363813567, 'max_depth': 4, 'subsample': 0.6051319712923757, 'max_features': 0.530437412996713, 'loss': 'huber'}",208860857,
gse,GradientBoost,target metric + day of week,30,31384.6622353199,"{'min_samples_split': 21, 'min_samples_leaf': 19, 'n_estimators': 592, 'learning_rate': 0.020848789944379775, 'max_depth': 5, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'squared_error'}",111667307,
gse,GradientBoost,target metric + day of week OHE,21,33986.9531065023,"{'min_samples_split': 2, 'min_samples_leaf': 10, 'n_estimators': 54, 'learning_rate': 0.21549264218582953, 'max_depth': 5, 'subsample': 0.696042481355883, 'max_features': 1.0, 'loss': 'squared_error'}",3358168019,
gse,GradientBoost,target metric + scaled day of week,19,31804.488511013617,"{'min_samples_split': 2, 'min_samples_leaf': 24, 'n_estimators': 384, 'learning_rate': 0.11919744271062466, 'max_depth': 5, 'subsample': 1.0, 'max_features': 0.30702095985354144, 'loss': 'huber'}",2186714278,
gse,GradientBoost,target metric + scaled day of week OHE,19,35205.47526748801,"{'min_samples_split': 2, 'min_samples_leaf': 15, 'n_estimators': 236, 'learning_rate': 0.04139590772739814, 'max_depth': 5, 'subsample': 0.5368374287947331, 'max_features': 'sqrt', 'loss': 'squared_error'}",464697665,
gse,GradientBoost,target metric + season,17,54950.751390788355,"{'min_samples_split': 31, 'min_samples_leaf': 1, 'n_estimators': 274, 'learning_rate': 0.283349888729155, 'max_depth': 4, 'subsample': 1.0, 'max_features': 0.3854096923777631, 'loss': 'squared_error'}",596864043,
gse,GradientBoost,target metric + season OHE,6,63872.16091454368,"{'min_samples_split': 21, 'min_samples_leaf': 17, 'n_estimators': 344, 'learning_rate': 0.36451427580915763, 'max_depth': 2, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'squared_error'}",145219692,
gse,GradientBoost,target metric + scaled season,0,54450.25179143992,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 171, 'learning_rate': 0.04481679347526709, 'max_depth': 5, 'subsample': 0.9732210002694335, 'max_features': 0.469294477981539, 'loss': 'huber'}",65533281,
gse,GradientBoost,target metric + scaled season OHE,5,56429.80238339503,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 440, 'learning_rate': 0.5541874082493902, 'max_depth': 2, 'subsample': 0.7803281054515183, 'max_features': 0.676226606309222, 'loss': 'squared_error'}",3320879748,
gse,GradientBoost,target metric + weather,24,56445.020825724285,"{'min_samples_split': 37, 'min_samples_leaf': 1, 'n_estimators': 412, 'learning_rate': 0.08416149835649771, 'max_depth': 5, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'squared_error'}",1271637196,
gse,GradientBoost,target metric + scaled weather,21,58724.059176572955,"{'min_samples_split': 49, 'min_samples_leaf': 11, 'n_estimators': 46, 'learning_rate': 0.04267623813604321, 'max_depth': 5, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'squared_error'}",1210439535,
gse,GradientBoost,target metric + day of week + season,18,30252.49731694624,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 660, 'learning_rate': 0.030668483889047613, 'max_depth': 5, 'subsample': 0.5964572238506665, 'max_features': 1.0, 'loss': 'huber'}",488338427,
gse,GradientBoost,target metric + day of week OHE + season OHE,7,33360.18795701381,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 397, 'learning_rate': 0.054657007882977206, 'max_depth': 4, 'subsample': 0.7871024977550993, 'max_features': 0.6468967728367272, 'loss': 'squared_error'}",3628333290,
gse,GradientBoost,target metric + scaled day of week + scaled season,1,31835.68876589891,"{'min_samples_split': 2, 'min_samples_leaf': 9, 'n_estimators': 99, 'learning_rate': 0.05609173163975842, 'max_depth': 4, 'subsample': 0.5181473033440713, 'max_features': 0.746820653570299, 'loss': 'squared_error'}",2074613959,
gse,GradientBoost,target metric + scaled day of week OHE + scaled season OHE,16,38403.40102734205,"{'min_samples_split': 26, 'min_samples_leaf': 16, 'n_estimators': 38, 'learning_rate': 0.4747344892075791, 'max_depth': 3, 'subsample': 0.6000430598649908, 'max_features': 1.0, 'loss': 'squared_error'}",3862175116,
gse,GradientBoost,target metric + day of week + weather,27,34536.685702216404,"{'min_samples_split': 2, 'min_samples_leaf': 30, 'n_estimators': 484, 'learning_rate': 0.07685293753108129, 'max_depth': 3, 'subsample': 0.6276180221103482, 'max_features': 0.3458912107085045, 'loss': 'squared_error'}",3870788567,
gse,GradientBoost,target metric + day of week OHE + weather,4,35389.59897995854,"{'min_samples_split': 23, 'min_samples_leaf': 1, 'n_estimators': 204, 'learning_rate': 0.01906110267718977, 'max_depth': 5, 'subsample': 1.0, 'max_features': 0.3397024401633498, 'loss': 'squared_error'}",3367815378,
gse,GradientBoost,target metric + scaled day of week + scaled weather,15,32555.342766428752,"{'min_samples_split': 11, 'min_samples_leaf': 26, 'n_estimators': 593, 'learning_rate': 0.03746922680381943, 'max_depth': 5, 'subsample': 0.5111664263710276, 'max_features': 0.47499876728993756, 'loss': 'huber'}",3329086389,
gse,GradientBoost,target metric + scaled day of week OHE + scaled weather,24,35303.31693258088,"{'min_samples_split': 2, 'min_samples_leaf': 12, 'n_estimators': 52, 'learning_rate': 0.06917032137919633, 'max_depth': 5, 'subsample': 1.0, 'max_features': 0.6843785259700335, 'loss': 'squared_error'}",2414085872,
gse,GradientBoost,target metric + season + weather,17,53056.03387916515,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'n_estimators': 79, 'learning_rate': 0.080702063959431, 'max_depth': 5, 'subsample': 0.7159155906076322, 'max_features': 1.0, 'loss': 'huber'}",1212884603,
