task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,Lasso,target metric,33,51760.527370462594,"{'alpha': 0.00010906974928518564, 'selection': 'random'}",3319071289,
gse,Lasso,target metric + day of week + season + weather,32,53471.86396049111,"{'alpha': 4953.589060742863, 'selection': 'random'}",3917448473,
gse,Lasso,target metric + day of week OHE + season OHE + weather,42,35882.48402427737,"{'alpha': 7056.433109020399, 'selection': 'cyclic'}",2734005016,
gse,Lasso,target metric + scaled day of week + scaled season + scaled weather,28,51103.60206145555,"{'alpha': 9112.154540172896, 'selection': 'cyclic'}",500688412,
gse,Lasso,target metric + scaled day of week OHE + scaled season OHE + scaled weather,16,52759.69396732398,"{'alpha': 4532.08490446612, 'selection': 'cyclic'}",4126299667,
gse,Lasso,target metric + day of week,1,53064.19579087985,"{'alpha': 6996.606290753433, 'selection': 'cyclic'}",3429138630,
gse,Lasso,target metric + day of week OHE,39,35973.643026822196,"{'alpha': 8466.77821361225, 'selection': 'cyclic'}",4141849672,
gse,Lasso,target metric + scaled day of week,28,50823.79700302536,"{'alpha': 7325.6762127277025, 'selection': 'cyclic'}",3445792766,
gse,Lasso,target metric + scaled day of week OHE,92,48308.654029748155,"{'alpha': 7885.79061043033, 'selection': 'cyclic'}",3970046675,
gse,Lasso,target metric + season,94,51672.24142861309,"{'alpha': 82.07982804928784, 'selection': 'random'}",1342779661,
gse,Lasso,target metric + season OHE,75,51593.91226854238,"{'alpha': 37.41854659948726, 'selection': 'cyclic'}",251908783,
gse,Lasso,target metric + scaled season,1,51672.41894745328,"{'alpha': 81.42487215891879, 'selection': 'cyclic'}",358351589,
gse,Lasso,target metric + scaled season OHE,54,51588.507374724424,"{'alpha': 92.84556327881661, 'selection': 'cyclic'}",3376374914,
gse,Lasso,target metric + weather,75,51600.05918824545,"{'alpha': 5783.3385750691805, 'selection': 'random'}",53162649,
gse,Lasso,target metric + scaled weather,62,51516.37777451988,"{'alpha': 4277.934584192396, 'selection': 'random'}",3880483407,
gse,Lasso,target metric + day of week + season,98,51997.718035983904,"{'alpha': 9329.988004657393, 'selection': 'random'}",1585903255,
gse,Lasso,target metric + day of week OHE + season OHE,0,36194.66158296548,"{'alpha': 9178.240653469067, 'selection': 'random'}",3861817695,
gse,Lasso,target metric + scaled day of week + scaled season,58,50991.90836191576,"{'alpha': 6064.35237447619, 'selection': 'cyclic'}",3658321319,
gse,Lasso,target metric + scaled day of week OHE + scaled season OHE,17,51765.60781265798,"{'alpha': 5366.455157758699, 'selection': 'random'}",3339317501,
gse,Lasso,target metric + day of week + weather,15,51416.72810766686,"{'alpha': 8491.498771935172, 'selection': 'cyclic'}",2293563703,
gse,Lasso,target metric + day of week OHE + weather,19,35203.22392963336,"{'alpha': 7922.3809954151775, 'selection': 'random'}",1009601580,
gse,Lasso,target metric + scaled day of week + scaled weather,24,50803.461464062035,"{'alpha': 7132.562384781748, 'selection': 'random'}",4083408919,
gse,Lasso,target metric + scaled day of week OHE + scaled weather,29,48240.04281874868,"{'alpha': 7940.734727700356, 'selection': 'random'}",373825478,
gse,Lasso,target metric + season + weather,46,51603.09625774469,"{'alpha': 6651.371240513547, 'selection': 'cyclic'}",1682023223,
gse,Lasso,target metric + season OHE + weather,27,51572.591901978754,"{'alpha': 21.507680156810235, 'selection': 'random'}",191314874,
gse,Lasso,target metric + scaled season + scaled weather,57,51450.57226044333,"{'alpha': 720.1823289195225, 'selection': 'random'}",2021474510,
gse,Lasso,target metric + scaled season OHE + scaled weather,41,51448.03735481276,"{'alpha': 557.095007496008, 'selection': 'cyclic'}",76607426,
delay,Lasso,target metric,66,35.34072887126741,"{'alpha': 0.00010208761605671648, 'selection': 'random'}",3242941895,
delay,Lasso,target metric + day of week + season + weather,84,23.286485511014895,"{'alpha': 0.19229438857365397, 'selection': 'random'}",3810296404,
delay,Lasso,target metric + day of week OHE + season OHE + weather,29,21.67875750931329,"{'alpha': 0.03279322578152501, 'selection': 'random'}",2924204436,
delay,Lasso,target metric + scaled day of week + scaled season + scaled weather,66,23.16499993996028,"{'alpha': 0.3486063704585648, 'selection': 'random'}",818369337,
delay,Lasso,target metric + scaled day of week OHE + scaled season OHE + scaled weather,56,21.390544748509765,"{'alpha': 1.2156782501851275, 'selection': 'random'}",3408492838,
delay,Lasso,target metric + day of week,13,22.804440968854582,"{'alpha': 0.00010381205755492747, 'selection': 'cyclic'}",2779643117,
delay,Lasso,target metric + day of week OHE,17,21.019942622904637,"{'alpha': 0.00011903874127404728, 'selection': 'random'}",930264132,
delay,Lasso,target metric + scaled day of week,96,22.804461665624167,"{'alpha': 0.0001191328713498215, 'selection': 'cyclic'}",687216754,
delay,Lasso,target metric + scaled day of week OHE,27,21.019924686575926,"{'alpha': 0.00010762784775144935, 'selection': 'random'}",704256177,
delay,Lasso,target metric + season,59,35.30720936527402,"{'alpha': 0.314600467544752, 'selection': 'random'}",3734628705,
delay,Lasso,target metric + season OHE,66,35.34724409526873,"{'alpha': 1.0258529413605066, 'selection': 'random'}",182450618,
delay,Lasso,target metric + scaled season,11,35.306729031854026,"{'alpha': 0.26766370513506454, 'selection': 'random'}",1011032631,
delay,Lasso,target metric + scaled season OHE,34,35.35442944112927,"{'alpha': 2.144357876596592, 'selection': 'cyclic'}",1397764096,
delay,Lasso,target metric + weather,13,35.31531019806437,"{'alpha': 6.196895645693391, 'selection': 'cyclic'}",1706845510,
delay,Lasso,target metric + scaled weather,3,35.29491293717823,"{'alpha': 1.0460298621314683, 'selection': 'random'}",3422327093,
delay,Lasso,target metric + day of week + season,11,22.84037091118446,"{'alpha': 0.22346623947638983, 'selection': 'cyclic'}",2172674696,
delay,Lasso,target metric + day of week OHE + season OHE,78,21.106424404926937,"{'alpha': 0.03788771873894349, 'selection': 'cyclic'}",3700886893,
delay,Lasso,target metric + scaled day of week + scaled season,97,22.859271349155243,"{'alpha': 0.08203436818882785, 'selection': 'cyclic'}",2299328825,
delay,Lasso,target metric + scaled day of week OHE + scaled season OHE,44,21.108537628100166,"{'alpha': 0.11421649572578062, 'selection': 'cyclic'}",2359297880,
delay,Lasso,target metric + day of week + weather,84,23.23932681803245,"{'alpha': 0.00012519877685341927, 'selection': 'random'}",1497064025,
delay,Lasso,target metric + day of week OHE + weather,38,21.659564005084643,"{'alpha': 0.00016042041435653442, 'selection': 'random'}",29092094,
delay,Lasso,target metric + scaled day of week + scaled weather,87,23.154686655349014,"{'alpha': 0.30379179550862734, 'selection': 'cyclic'}",3870509706,
delay,Lasso,target metric + scaled day of week OHE + scaled weather,23,21.379760250900958,"{'alpha': 1.203122695071143, 'selection': 'random'}",703837940,
delay,Lasso,target metric + season + weather,89,35.35798560433922,"{'alpha': 9.025693140859483, 'selection': 'random'}",159893587,
delay,Lasso,target metric + season OHE + weather,47,35.31679897848863,"{'alpha': 6.487694984851289, 'selection': 'random'}",2491099928,
delay,Lasso,target metric + scaled season + scaled weather,74,35.28397883617237,"{'alpha': 0.9874594326802464, 'selection': 'cyclic'}",2705728041,
delay,Lasso,target metric + scaled season OHE + scaled weather,74,35.355386595588854,"{'alpha': 2.317137694415756, 'selection': 'cyclic'}",715404015,
