task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,MovingAverage,target metric,0,66558.68584345843,{},3046196711,
gse,MovingAverage,target metric + day of week + season + weather,0,66558.68584345843,{},1388394748,
gse,MovingAverage,target metric + day of week OHE + season OHE + weather,0,66558.68584345843,{},811610440,
gse,MovingAverage,target metric + scaled day of week + scaled season + scaled weather,0,66558.68584345843,{},2900069342,
gse,MovingAverage,target metric + scaled day of week OHE + scaled season OHE + scaled weather,0,66558.68584345843,{},1618181330,
gse,MovingAverage,target metric + day of week,0,66558.68584345843,{},848257419,
gse,MovingAverage,target metric + day of week OHE,0,66558.68584345843,{},3245127563,
gse,MovingAverage,target metric + scaled day of week,0,66558.68584345843,{},1961782041,
gse,MovingAverage,target metric + scaled day of week OHE,0,66558.68584345843,{},1900049698,
gse,MovingAverage,target metric + season,0,66558.68584345843,{},3154455443,
gse,MovingAverage,target metric + season OHE,0,66558.68584345843,{},101333120,
gse,MovingAverage,target metric + scaled season,0,66558.68584345843,{},675373411,
gse,MovingAverage,target metric + scaled season OHE,0,66558.68584345843,{},402308384,
gse,MovingAverage,target metric + weather,0,66558.68584345843,{},3946145187,
gse,MovingAverage,target metric + scaled weather,0,66558.68584345843,{},363193595,
gse,MovingAverage,target metric + day of week + season,0,66558.68584345843,{},2348169770,
gse,MovingAverage,target metric + day of week OHE + season OHE,0,66558.68584345843,{},1884471280,
gse,MovingAverage,target metric + scaled day of week + scaled season,0,66558.68584345843,{},2857976175,
gse,MovingAverage,target metric + scaled day of week OHE + scaled season OHE,0,66558.68584345843,{},1748507055,
gse,MovingAverage,target metric + day of week + weather,0,66558.68584345843,{},4269845329,
gse,MovingAverage,target metric + day of week OHE + weather,0,66558.68584345843,{},2133184183,
gse,MovingAverage,target metric + scaled day of week + scaled weather,0,66558.68584345843,{},1453270777,
gse,MovingAverage,target metric + scaled day of week OHE + scaled weather,0,66558.68584345843,{},2878302381,
gse,MovingAverage,target metric + season + weather,0,66558.68584345843,{},694682262,
gse,MovingAverage,target metric + season OHE + weather,0,66558.68584345843,{},3076942560,
gse,MovingAverage,target metric + scaled season + scaled weather,0,66558.68584345843,{},1723212520,
gse,MovingAverage,target metric + scaled season OHE + scaled weather,0,66558.68584345843,{},3280122565,
delay,MovingAverage,target metric,0,42.69178080319616,{},357441280,
delay,MovingAverage,target metric + day of week + season + weather,0,42.69178080319616,{},458601151,
delay,MovingAverage,target metric + day of week OHE + season OHE + weather,0,42.69178080319616,{},3578848514,
delay,MovingAverage,target metric + scaled day of week + scaled season + scaled weather,0,42.69178080319616,{},4058208903,
delay,MovingAverage,target metric + scaled day of week OHE + scaled season OHE + scaled weather,0,42.69178080319616,{},4202782549,
delay,MovingAverage,target metric + day of week,0,42.69178080319616,{},159288800,
delay,MovingAverage,target metric + day of week OHE,0,42.69178080319616,{},3861342333,
delay,MovingAverage,target metric + scaled day of week,0,42.69178080319616,{},598389194,
delay,MovingAverage,target metric + scaled day of week OHE,0,42.69178080319616,{},3321936151,
delay,MovingAverage,target metric + season,0,42.69178080319616,{},2639020619,
delay,MovingAverage,target metric + season OHE,0,42.69178080319616,{},3041039038,
delay,MovingAverage,target metric + scaled season,0,42.69178080319616,{},3463047947,
delay,MovingAverage,target metric + scaled season OHE,0,42.69178080319616,{},184302011,
delay,MovingAverage,target metric + weather,0,42.69178080319616,{},2179311027,
delay,MovingAverage,target metric + scaled weather,0,42.69178080319616,{},4294655344,
delay,MovingAverage,target metric + day of week + season,0,42.69178080319616,{},4149798194,
delay,MovingAverage,target metric + day of week OHE + season OHE,0,42.69178080319616,{},4030577735,
delay,MovingAverage,target metric + scaled day of week + scaled season,0,42.69178080319616,{},816864763,
delay,MovingAverage,target metric + scaled day of week OHE + scaled season OHE,0,42.69178080319616,{},245724277,
delay,MovingAverage,target metric + day of week + weather,0,42.69178080319616,{},3193081950,
delay,MovingAverage,target metric + day of week OHE + weather,0,42.69178080319616,{},3595511383,
delay,MovingAverage,target metric + scaled day of week + scaled weather,0,42.69178080319616,{},3635559862,
delay,MovingAverage,target metric + scaled day of week OHE + scaled weather,0,42.69178080319616,{},2995201827,
delay,MovingAverage,target metric + season + weather,0,42.69178080319616,{},2411776505,
delay,MovingAverage,target metric + season OHE + weather,0,42.69178080319616,{},542412433,
delay,MovingAverage,target metric + scaled season + scaled weather,0,42.69178080319616,{},2278510699,
delay,MovingAverage,target metric + scaled season OHE + scaled weather,0,42.69178080319616,{},1411557477,
