task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,MultilayerPerceptron,target metric,0,35858.90894147942,"{'hidden_layer_sizes': (72,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0005404127834324532, 'learning_rate_init': 0.003264647084082004, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2547838082,
gse,MultilayerPerceptron,target metric + day of week + season + weather,13,31105.604225058923,"{'hidden_layer_sizes': (35, 17), 'activation': 'relu', 'solver': 'adam', 'alpha': 9.048037811793705e-06, 'learning_rate_init': 0.007835902911260191, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2892870465,
gse,MultilayerPerceptron,target metric + day of week OHE + season OHE + weather,13,31836.962158014507,"{'hidden_layer_sizes': (24, 39), 'activation': 'relu', 'solver': 'adam', 'alpha': 2.654329611378596e-06, 'learning_rate_init': 0.0031477137937444308, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",690971565,
gse,MultilayerPerceptron,target metric + scaled day of week + scaled season + scaled weather,20,32473.281068148186,"{'hidden_layer_sizes': (16, 48), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.007691733200854447, 'learning_rate_init': 0.01441194633225389, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1643038162,
gse,MultilayerPerceptron,target metric + scaled day of week OHE + scaled season OHE + scaled weather,7,35706.76641619342,"{'hidden_layer_sizes': (49,), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.9172141679625584e-06, 'learning_rate_init': 0.001829075110509719, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1596512574,
gse,MultilayerPerceptron,target metric + day of week,5,33011.0290367378,"{'hidden_layer_sizes': (12, 20), 'activation': 'relu', 'solver': 'adam', 'alpha': 3.834345609960726e-05, 'learning_rate_init': 0.002477869938594905, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",217055578,
gse,MultilayerPerceptron,target metric + day of week OHE,22,31464.542248638147,"{'hidden_layer_sizes': (27, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0037521393951255814, 'learning_rate_init': 0.012875614836086006, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1136445159,
gse,MultilayerPerceptron,target metric + scaled day of week,23,29380.550119994765,"{'hidden_layer_sizes': (45, 24), 'activation': 'relu', 'solver': 'adam', 'alpha': 2.7766508453786088e-05, 'learning_rate_init': 0.017576624572979104, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",98600850,
gse,MultilayerPerceptron,target metric + scaled day of week OHE,7,34885.61407285067,"{'hidden_layer_sizes': (60,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.00042106523433129583, 'learning_rate_init': 0.0018771827263611067, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3043819250,
gse,MultilayerPerceptron,target metric + season,28,33232.71600670534,"{'hidden_layer_sizes': (78,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0012794965579522503, 'learning_rate_init': 0.016626355910777872, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1371573790,
gse,MultilayerPerceptron,target metric + season OHE,5,34020.45722244202,"{'hidden_layer_sizes': (72,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0019811336877696845, 'learning_rate_init': 0.013875093635314157, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2894119515,
gse,MultilayerPerceptron,target metric + scaled season,26,32385.372991631997,"{'hidden_layer_sizes': (78,), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0738091452856557e-05, 'learning_rate_init': 0.04338388372748945, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2268991436,
gse,MultilayerPerceptron,target metric + scaled season OHE,27,32969.64095392319,"{'hidden_layer_sizes': (27, 22), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.236628794928533e-05, 'learning_rate_init': 0.04506165211581487, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2320392117,
gse,MultilayerPerceptron,target metric + weather,6,32172.657036293927,"{'hidden_layer_sizes': (11, 13), 'activation': 'relu', 'solver': 'adam', 'alpha': 5.077484555381472e-05, 'learning_rate_init': 0.006115343578784999, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3548775113,
gse,MultilayerPerceptron,target metric + scaled weather,27,31084.304807696302,"{'hidden_layer_sizes': (31, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0005702662650182341, 'learning_rate_init': 0.007595910731618768, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2922021876,
gse,MultilayerPerceptron,target metric + day of week + season,8,32579.023044024365,"{'hidden_layer_sizes': (37,), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.681636656094066e-05, 'learning_rate_init': 0.003533259330204271, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3421421224,
