task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,RandomForest,target metric,21,44714.85061874726,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 179, 'max_depth': None, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",2824258559,
gse,RandomForest,target metric + day of week + season + weather,18,31047.316221490397,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 105, 'max_depth': None, 'max_features': 0.5036736010008852, 'bootstrap': True, 'max_samples': None}",1392282269,
gse,RandomForest,target metric + day of week OHE + season OHE + weather,2,30917.904040334808,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 60, 'max_depth': 11, 'max_features': 0.4821060578442724, 'bootstrap': True, 'max_samples': None}",2083187883,
gse,RandomForest,target metric + scaled day of week + scaled season + scaled weather,25,30962.56300976258,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 185, 'max_depth': 58, 'max_features': 0.6961558996511934, 'bootstrap': True, 'max_samples': None}",3840938747,
gse,RandomForest,target metric + scaled day of week OHE + scaled season OHE + scaled weather,14,31285.195584904977,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 625, 'max_depth': 33, 'max_features': 0.4470364324067904, 'bootstrap': True, 'max_samples': None}",2725921224,
gse,RandomForest,target metric + day of week,31,28364.1582790987,"{'min_samples_split': 13, 'min_samples_leaf': 1, 'n_estimators': 35, 'max_depth': 54, 'max_features': 0.7016298107740273, 'bootstrap': True, 'max_samples': None}",1240217945,
gse,RandomForest,target metric + day of week OHE,25,28494.165207658825,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 413, 'max_depth': None, 'max_features': 0.769464601131726, 'bootstrap': True, 'max_samples': None}",1969378950,
gse,RandomForest,target metric + scaled day of week,18,28183.939310492224,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 695, 'max_depth': 20, 'max_features': 0.4775973598570957, 'bootstrap': True, 'max_samples': None}",1883597600,
gse,RandomForest,target metric + scaled day of week OHE,23,29058.064701174364,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 32, 'max_depth': None, 'max_features': 0.5253177325381659, 'bootstrap': True, 'max_samples': None}",2123474662,
gse,RandomForest,target metric + season,23,44826.45193715863,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 61, 'max_depth': 25, 'max_features': 0.6382697447248917, 'bootstrap': True, 'max_samples': None}",4072925210,
gse,RandomForest,target metric + season OHE,27,49175.93370353671,"{'min_samples_split': 14, 'min_samples_leaf': 1, 'n_estimators': 30, 'max_depth': 38, 'max_features': 0.7510927980401018, 'bootstrap': True, 'max_samples': None}",1574934319,
gse,RandomForest,target metric + scaled season,20,45792.200257096505,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 868, 'max_depth': None, 'max_features': 0.6311244000218067, 'bootstrap': True, 'max_samples': None}",1316008152,
gse,RandomForest,target metric + scaled season OHE,29,48287.34715116827,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 625, 'max_depth': 10, 'max_features': 0.7531556763336287, 'bootstrap': True, 'max_samples': None}",2093861947,
gse,RandomForest,target metric + weather,15,51880.88156645439,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 397, 'max_depth': 69, 'max_features': 0.5443189828291497, 'bootstrap': True, 'max_samples': None}",2503021145,
gse,RandomForest,target metric + scaled weather,31,50198.67516838491,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 542, 'max_depth': None, 'max_features': 0.674086513659832, 'bootstrap': True, 'max_samples': None}",3000938681,
gse,RandomForest,target metric + day of week + season,30,30099.938835945817,"{'min_samples_split': 12, 'min_samples_leaf': 1, 'n_estimators': 345, 'max_depth': None, 'max_features': 1.0, 'bootstrap': True, 'max_samples': None}",3831447642,
gse,RandomForest,target metric + day of week OHE + season OHE,25,29454.113848518442,"{'min_samples_split': 15, 'min_samples_leaf': 1, 'n_estimators': 370, 'max_depth': None, 'max_features': 0.48854660955719387, 'bootstrap': True, 'max_samples': None}",3849759746,
gse,RandomForest,target metric + scaled day of week + scaled season,26,28397.47055589341,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 121, 'max_depth': 16, 'max_features': 0.7272925627365138, 'bootstrap': True, 'max_samples': None}",3441903201,
gse,RandomForest,target metric + scaled day of week OHE + scaled season OHE,26,31852.971491287928,"{'min_samples_split': 2, 'min_samples_leaf': 6, 'n_estimators': 38, 'max_depth': 15, 'max_features': 0.6790000319028986, 'bootstrap': True, 'max_samples': None}",861251956,
gse,RandomForest,target metric + day of week + weather,5,31183.71793804757,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 194, 'max_depth': None, 'max_features': 0.5871068279160174, 'bootstrap': True, 'max_samples': None}",380711048,
gse,RandomForest,target metric + day of week OHE + weather,22,32475.56816282633,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 223, 'max_depth': None, 'max_features': 0.6535682761271995, 'bootstrap': True, 'max_samples': None}",3683629365,
gse,RandomForest,target metric + scaled day of week + scaled weather,28,31423.649178312156,"{'min_samples_split': 3, 'min_samples_leaf': 1, 'n_estimators': 33, 'max_depth': None, 'max_features': 0.6055917360888314, 'bootstrap': True, 'max_samples': None}",3803866657,
gse,RandomForest,target metric + scaled day of week OHE + scaled weather,21,31782.83098933436,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 611, 'max_depth': None, 'max_features': 0.5864008163887513, 'bootstrap': True, 'max_samples': None}",1080674249,
gse,RandomForest,target metric + season + weather,22,51471.56671078657,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 551, 'max_depth': 21, 'max_features': 0.5354735391300061, 'bootstrap': True, 'max_samples': None}",551109558,
gse,RandomForest,target metric + season OHE + weather,28,53480.13519957552,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 796, 'max_depth': None, 'max_features': 1.0, 'bootstrap': True, 'max_samples': None}",3504182695,
gse,RandomForest,target metric + scaled season + scaled weather,18,52225.39021221315,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 298, 'max_depth': None, 'max_features': 0.6696084182122999, 'bootstrap': True, 'max_samples': None}",903726738,
gse,RandomForest,target metric + scaled season OHE + scaled weather,22,49227.98835812001,"{'min_samples_split': 15, 'min_samples_leaf': 1, 'n_estimators': 11, 'max_depth': None, 'max_features': 0.5257639455894028, 'bootstrap': True, 'max_samples': None}",2222919459,
delay,RandomForest,target metric,26,28.30804673555982,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 320, 'max_depth': 56, 'max_features': 0.4043249894182408, 'bootstrap': True, 'max_samples': None}",140385779,
