task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,Ridge,target metric,36,51760.527370462274,{'alpha': 0.024503314145933985},2851153138,
gse,Ridge,target metric + day of week + season + weather,35,36485.3523032285,{'alpha': 8325.530824550266},2890814716,
gse,Ridge,target metric + day of week OHE + season OHE + weather,81,32177.78526300554,{'alpha': 2161.027452849861},647416599,
gse,Ridge,target metric + scaled day of week + scaled season + scaled weather,46,36635.52603680821,{'alpha': 2085.1945059592945},2944578309,
gse,Ridge,target metric + scaled day of week OHE + scaled season OHE + scaled weather,53,42799.20116579831,{'alpha': 4762.087988085405},1226237128,
gse,Ridge,target metric + day of week,7,37288.73979334504,{'alpha': 8127.564334769071},3621111307,
gse,Ridge,target metric + day of week OHE,9,32911.175813389884,{'alpha': 2417.54789289724},1567170322,
gse,Ridge,target metric + scaled day of week,30,37213.829018230426,{'alpha': 2547.403927787926},1997423017,
gse,Ridge,target metric + scaled day of week OHE,94,35960.050808098706,{'alpha': 9931.044617209442},3697943524,
gse,Ridge,target metric + season,13,51664.39850880504,{'alpha': 791.6827366998863},505962661,
gse,Ridge,target metric + season OHE,88,51609.8256258428,{'alpha': 5.1771767944508245},2132531523,
gse,Ridge,target metric + scaled season,22,51664.35726044585,{'alpha': 502.9673170085796},1132398875,
gse,Ridge,target metric + scaled season OHE,15,51609.867618999786,{'alpha': 27.4472351499551},2018540522,
gse,Ridge,target metric + weather,58,51653.59951437408,{'alpha': 7789.92834260829},1663063784,
gse,Ridge,target metric + scaled weather,20,51527.354928558765,{'alpha': 1670.8201745363854},3565960441,
gse,Ridge,target metric + day of week + season,45,37136.969472719225,{'alpha': 9519.577578486},2417383312,
gse,Ridge,target metric + day of week OHE + season OHE,87,32857.63192272782,{'alpha': 2282.1232567357442},2050733012,
gse,Ridge,target metric + scaled day of week + scaled season,75,37197.08008187699,{'alpha': 2074.0028393598495},3580510871,
gse,Ridge,target metric + scaled day of week OHE + scaled season OHE,15,38599.671149394206,{'alpha': 7477.157783197202},1045521000,
gse,Ridge,target metric + day of week + weather,56,36541.1876032548,{'alpha': 8987.864064905934},1544578330,
gse,Ridge,target metric + day of week OHE + weather,44,32442.42170484686,{'alpha': 2732.3912600513745},3784066119,
gse,Ridge,target metric + scaled day of week + scaled weather,30,36734.522505239285,{'alpha': 2038.409962924732},3028589198,
gse,Ridge,target metric + scaled day of week OHE + scaled weather,70,36812.233480573545,{'alpha': 8616.69664815015},2566284344,
gse,Ridge,target metric + season + weather,32,51571.64750286209,{'alpha': 9003.840071742337},74404605,
gse,Ridge,target metric + season OHE + weather,26,51596.922831782926,{'alpha': 3.3599100326513924},1484653185,
gse,Ridge,target metric + scaled season + scaled weather,61,51421.45421401862,{'alpha': 1561.5418715576727},922801931,
gse,Ridge,target metric + scaled season OHE + scaled weather,88,51399.114261558985,{'alpha': 1337.199217671826},3745592643,
delay,Ridge,target metric,68,35.34072822626877,{'alpha': 0.00012999293147688263},3625087575,
delay,Ridge,target metric + day of week + season + weather,13,23.30647439638029,{'alpha': 5.889526227899069},2686456013,
delay,Ridge,target metric + day of week OHE + season OHE + weather,99,21.70046295423418,{'alpha': 3.2919806843515347},1122966837,
delay,Ridge,target metric + scaled day of week + scaled season + scaled weather,34,23.309570297508486,{'alpha': 0.0001039836121909491},291227939,
delay,Ridge,target metric + scaled day of week OHE + scaled season OHE + scaled weather,42,21.679116463721645,{'alpha': 49.70489572433637},4225899648,
