task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,SupportVector,target metric,14,52163.56110802601,"{'C': 0.5784679659148609, 'epsilon': 0.0011519695489614471}",1766501121,
gse,SupportVector,target metric + day of week + season + weather,1,54176.50389483032,"{'C': 0.1137116961134822, 'epsilon': 5.370681593045234}",3788558844,
gse,SupportVector,target metric + day of week OHE + season OHE + weather,14,54166.38533334613,"{'C': 0.017613699953329842, 'epsilon': 9.87485633528242}",1705008624,
gse,SupportVector,target metric + scaled day of week + scaled season + scaled weather,4,52163.310475400285,"{'C': 12.351632707844331, 'epsilon': 0.0014128086687909087}",1650440859,
gse,SupportVector,target metric + scaled day of week OHE + scaled season OHE + scaled weather,26,52161.29041045831,"{'C': 11.896021513284305, 'epsilon': 0.0015035787434069816}",2009510363,
gse,SupportVector,target metric + day of week,0,52162.09019945606,"{'C': 0.010759776608577715, 'epsilon': 0.001157116186017131}",915401081,
gse,SupportVector,target metric + day of week OHE,13,52163.28246305012,"{'C': 9.01212079781467, 'epsilon': 0.001162916913022871}",234663508,
gse,SupportVector,target metric + scaled day of week,31,52163.33181723909,"{'C': 23.393476968897584, 'epsilon': 0.0012046281253480457}",4024791880,
gse,SupportVector,target metric + scaled day of week OHE,25,52161.30698359216,"{'C': 0.6561302523384969, 'epsilon': 0.001267260108528315}",3395626152,
gse,SupportVector,target metric + season,18,52163.54307117068,"{'C': 0.05876696725019303, 'epsilon': 0.0010998985259355882}",3307115039,
gse,SupportVector,target metric + season OHE,2,52163.55716752685,"{'C': 0.4718947095032271, 'epsilon': 0.0014537369009853588}",320750052,
gse,SupportVector,target metric + scaled season,12,52163.55890602325,"{'C': 0.023191916314204284, 'epsilon': 0.001037964699922968}",1117210020,
gse,SupportVector,target metric + scaled season OHE,19,52163.56376348324,"{'C': 0.14952397681812377, 'epsilon': 0.001007113974276073}",24751099,
gse,SupportVector,target metric + weather,28,54167.85598732083,"{'C': 0.7056777198873714, 'epsilon': 9.127189669247096}",3671866576,
gse,SupportVector,target metric + scaled weather,13,52163.54192641084,"{'C': 2.3560921118083193, 'epsilon': 0.0012899819521109523}",2118818791,
gse,SupportVector,target metric + day of week + season,6,52162.07283854015,"{'C': 6.537803746632092, 'epsilon': 0.0012208329086237086}",2092543612,
gse,SupportVector,target metric + day of week OHE + season OHE,17,52163.27850652658,"{'C': 0.33340781413146275, 'epsilon': 0.0012433381512114133}",738668062,
gse,SupportVector,target metric + scaled day of week + scaled season,27,52163.32967860933,"{'C': 1.270524772406799, 'epsilon': 0.0017694568657085298}",1899824420,
gse,SupportVector,target metric + scaled day of week OHE + scaled season OHE,0,52161.30952664072,"{'C': 0.010001364116600851, 'epsilon': 0.0012015234818501888}",422124847,
gse,SupportVector,target metric + day of week + weather,10,54171.88329889208,"{'C': 0.3024347988748181, 'epsilon': 7.958644163025438}",4110975478,
gse,SupportVector,target metric + day of week OHE + weather,8,54179.76342583813,"{'C': 0.11007595333666755, 'epsilon': 2.4619942101468624}",2884523480,
gse,SupportVector,target metric + scaled day of week + scaled weather,16,52163.3126268027,"{'C': 0.03869428492506434, 'epsilon': 0.0010132134328434239}",613623606,
gse,SupportVector,target metric + scaled day of week OHE + scaled weather,1,52161.287879346724,"{'C': 0.4923559243709551, 'epsilon': 0.001656000389976536}",2376622748,
gse,SupportVector,target metric + season + weather,11,54170.08484452167,"{'C': 12.568744601695533, 'epsilon': 7.872434043345446}",3999362471,
gse,SupportVector,target metric + season OHE + weather,23,54167.91400324379,"{'C': 9.22533419932815, 'epsilon': 9.038534163875934}",3627247970,
gse,SupportVector,target metric + scaled season + scaled weather,24,52163.53972292989,"{'C': 1.2694210468232003, 'epsilon': 0.0011460233447650283}",2684487866,
gse,SupportVector,target metric + scaled season OHE + scaled weather,11,52163.54465505354,"{'C': 6.357470378599985, 'epsilon': 0.002075081491832512}",2232482957,
delay,SupportVector,target metric,7,36.0374614787285,"{'C': 0.9889878498094246, 'epsilon': 1.7853257537224112}",1136902698,
delay,SupportVector,target metric + day of week + season + weather,23,29.96096059891513,"{'C': 0.13674101967782534, 'epsilon': 8.538411098791729}",4118471941,
delay,SupportVector,target metric + day of week OHE + season OHE + weather,28,33.37700595546663,"{'C': 1.805951439730469, 'epsilon': 0.0010806061978530944}",139993189,
