task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,kNearestNeighbor,target metric,24,36732.254339474275,"{'n_neighbors': 8, 'weights': 'uniform', 'p': 2}",4007909486,
gse,kNearestNeighbor,target metric + day of week + season + weather,11,36780.57922973381,"{'n_neighbors': 9, 'weights': 'distance', 'p': 2}",1489440764,
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,19,36449.60620890546,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}",3539127120,
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,31,36655.44835854419,"{'n_neighbors': 10, 'weights': 'distance', 'p': 2}",951037381,
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,27,36449.606216372056,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}",3709519340,
gse,kNearestNeighbor,target metric + day of week,29,36818.35940750112,"{'n_neighbors': 6, 'weights': 'distance', 'p': 1}",218119979,
gse,kNearestNeighbor,target metric + day of week OHE,20,36500.72116556088,"{'n_neighbors': 7, 'weights': 'distance', 'p': 2}",328235838,
gse,kNearestNeighbor,target metric + scaled day of week,24,36500.72116663047,"{'n_neighbors': 7, 'weights': 'distance', 'p': 2}",912695013,
gse,kNearestNeighbor,target metric + scaled day of week OHE,5,36712.54816383866,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 2}",2151036427,
gse,kNearestNeighbor,target metric + season,28,36712.54816383866,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 2}",1791638332,
gse,kNearestNeighbor,target metric + season OHE,16,36712.54816383866,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 2}",602669409,
gse,kNearestNeighbor,target metric + scaled season,7,36712.54816383866,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 2}",3372746237,
gse,kNearestNeighbor,target metric + scaled season OHE,15,36876.34281803394,"{'n_neighbors': 12, 'weights': 'distance', 'p': 2}",1156442904,
gse,kNearestNeighbor,target metric + weather,18,36449.60621291624,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}",2326449033,
gse,kNearestNeighbor,target metric + scaled weather,14,36449.60624520872,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}",3089968631,
gse,kNearestNeighbor,target metric + day of week + season,16,36449.606225369505,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}",2396633712,
gse,kNearestNeighbor,target metric + day of week OHE + season OHE,2,36732.254339474275,"{'n_neighbors': 8, 'weights': 'uniform', 'p': 2}",3333835053,
gse,kNearestNeighbor,target metric + scaled day of week + scaled season,13,36670.61775211445,"{'n_neighbors': 6, 'weights': 'distance', 'p': 2}",409680147,
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE,7,36817.64789196743,"{'n_neighbors': 6, 'weights': 'distance', 'p': 1}",1239624206,
gse,kNearestNeighbor,target metric + day of week + weather,14,36824.232207255845,"{'n_neighbors': 8, 'weights': 'distance', 'p': 1}",203806002,
gse,kNearestNeighbor,target metric + day of week OHE + weather,6,36500.7209482539,"{'n_neighbors': 7, 'weights': 'distance', 'p': 2}",440299237,
gse,kNearestNeighbor,target metric + scaled day of week + scaled weather,14,36655.44836592959,"{'n_neighbors': 10, 'weights': 'distance', 'p': 2}",757371832,
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled weather,28,36670.61773690828,"{'n_neighbors': 6, 'weights': 'distance', 'p': 2}",55959989,
gse,kNearestNeighbor,target metric + season + weather,22,36655.44816348335,"{'n_neighbors': 10, 'weights': 'distance', 'p': 2}",4287049147,
gse,kNearestNeighbor,target metric + season OHE + weather,6,36449.60621151319,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}",1809423058,
gse,kNearestNeighbor,target metric + scaled season + scaled weather,1,36670.617751402046,"{'n_neighbors': 6, 'weights': 'distance', 'p': 2}",2951910888,
gse,kNearestNeighbor,target metric + scaled season OHE + scaled weather,12,36901.888797421525,"{'n_neighbors': 7, 'weights': 'distance', 'p': 1}",2473271736,
delay,kNearestNeighbor,target metric,8,27.056674826083377,"{'n_neighbors': 18, 'weights': 'uniform', 'p': 1}",1830627544,
